title,brand,value,natural,safety,quality,link,_id
Филе цыпленка-бройлера без кожи «Мираторг»,Мираторг,5.3,8.0,7.6,7.3,https://roscontrol.com/product/file-bedra-tsiplyat-broylerov-bez-kogi-miratorg/,640109f86edc36f4d1176cd8
Филе цыпленка-бройлера без кожи «Петелинка»,Торговый дом «Петелино»,5.4,8.0,7.3,6.9,https://roscontrol.com/product/petelinka-file-tsiplenka-broylera/,640109f86edc36f4d1176cd9
Филе цыпленка-бройлера «Ярославский бройлер»,Ярославский бройлер,5.2,8.0,7.6,6.3,https://roscontrol.com/product/file-tsiplenka-broylera-yaroslavskiy-broyler/,640109f86edc36f4d1176cda
Филе индейки «Краснобор»,«Краснобор»,5.4,7.5,7.7,6.7,https://roscontrol.com/product/file-indeyki-krasnobor/,640109f86edc36f4d1176cdb
Филе бедра цыплят-бройлеров без кожи «Первая свежесть»,ЗАО «Элинар-Бройлер»,5.2,7.5,7.6,5.4,https://roscontrol.com/product/bedro-tsiplyat-broylerov-bez-kogi-pervaya-svegest/,640109f86edc36f4d1176cdc
Филе бедра цыплят-бройлеров без кожи «Рококо»,Продо,5.2,7.5,7.3,5.2,https://roscontrol.com/product/bedro-tsiplyat-broylerov-bez-kogi-rokoko/,640109f86edc36f4d1176cdd
Филе бедра цыплят-бройлеров без кожи «Петелинка»,Торговый дом «Петелино»,5.7,7.5,7.2,4.1,https://roscontrol.com/product/bedro-tsiplyat-broylerov-bez-kogi-petelinka/,640109f86edc36f4d1176cde
Филе цыпленка-бройлера без кожи «Первая свежесть»,ЗАО «Элинар-Бройлер»,5.3,8.0,5.1,5.9,https://roscontrol.com/product/pervaya-svegest/,640109f86edc36f4d1176cdf
Филе индейки «Пава Пава»,ООО «Тамбовская индейка»,5.4,7.0,5.7,5.9,https://roscontrol.com/product/file-indeyki-pava-pava/,640109f86edc36f4d1176ce0
Филе бедра цыплят-бройлеров без кожи «Белая птица»,ООО «Белая птица - Белгород»,5.4,7.5,7.5,2.8,https://roscontrol.com/product/bedro-tsiplyat-broylerov-bez-kogi-belaya-ptitsa/,640109f86edc36f4d1176ce1
